sensorId,sensorTypeString,location,timestamp,tickNumber,value,agentId,speed,hasExited,timeEnteringZone,exitTime,eventDetails,totalAgentsExited,zoneCount,zone_Offices_1,zone_Main_Hall,zone_Hallway_1,zone_Classroom,zone_Bathrooms,zone_Offices_7,zone_Offices_5,zone_Offices_2,zone_Hallway_2,zone_Hallway_3,zone_Offices_3
ZONE-Hallway 2-Exit,ZoneOccupancy,Hallway 2,9.399997,42,4,Agent-17,0,True,0,9.399997,Agent exited zone,10,4,0,1,1,4,0,0,0,0,4,0,0
ZONE-Offices 3-Enter,ZoneOccupancy,Offices 3,9.399997,43,1,Agent-17,0,False,9.399997,0,Agent entered zone,10,1,0,1,1,4,0,0,0,0,3,0,1
ZONE-Hallway 2-ForcedExit,ZoneOccupancy,Hallway 2,9.536318,44,2,Agent-9,0,True,6.599998,9.536318,Agent exited zone (destroyed on exit/trapped),11,2,0,1,1,4,0,0,0,0,2,0,1
ZONE-Offices 3-Exit,ZoneOccupancy,Offices 3,9.819997,45,1,Agent-17,0,True,0,9.819997,Agent exited zone,11,1,0,1,1,4,0,0,0,0,2,0,1
ZONE-Offices 5-Enter,ZoneOccupancy,Offices 5,9.819997,46,1,Agent-17,0,False,9.819997,0,Agent entered zone,11,1,0,1,1,4,0,0,1,0,2,0,0
ZONE-Hallway 1-ForcedExit,ZoneOccupancy,Hallway 1,9.843917,47,0,Agent-15,0,True,7.779997,9.843917,Agent exited zone (destroyed on exit/trapped),12,0,0,1,0,4,0,0,1,0,2,0,0
ZONE-Hallway 2-ForcedExit,ZoneOccupancy,Hallway 2,9.881812,48,1,Agent-0,0,True,5.679998,9.881812,Agent exited zone (destroyed on exit/trapped),13,1,0,1,0,4,0,0,1,0,1,0,0
ZONE-Classroom-Exit,ZoneOccupancy,Classroom,10.16,49,4,Agent-11,0,True,0,10.16,Agent exited zone,13,4,0,1,0,4,0,0,1,0,1,0,0
ZONE-Hallway 1-Enter,ZoneOccupancy,Hallway 1,10.16,50,1,Agent-11,0,False,10.16,0,Agent entered zone,13,1,0,1,1,3,0,0,1,0,1,0,0
ZONE-Hallway 1-ForcedExit,ZoneOccupancy,Hallway 1,10.70877,51,0,Agent-11,0,True,10.16,10.70877,Agent exited zone (destroyed on exit/trapped),14,0,0,1,0,3,0,0,1,0,1,0,0
ZONE-Offices 5-Exit,ZoneOccupancy,Offices 5,12.54,52,1,Agent-17,0,True,0,12.54,Agent exited zone,14,1,0,1,0,3,0,0,1,0,1,0,0
ZONE-Hallway 3-Enter,ZoneOccupancy,Hallway 3,12.54,53,1,Agent-17,0,False,12.54,0,Agent entered zone,14,1,0,1,0,3,0,0,0,0,1,1,0
ZONE-Hallway 3-Exit,ZoneOccupancy,Hallway 3,14.54,54,1,Agent-17,0,True,0,14.54,Agent exited zone,14,1,0,1,0,3,0,0,0,0,1,1,0
